File,Activity,Subject,Trial,A11,A12,A21,A22,A31,A32,A Diff,A Angle,A 3D Angle,B11,B12,B21,B22,B31,B32,B Diff,B Angle,B 3D Angle
a7_s8_t1_color.avi,a7,s8,t1,301.98514,138.02686,301.5423,137.90602,302.31113,136.10826,2.2445831,82.10786279122,11.4086520948072,328.0195,357.0015,327.7142,357.08768,328.45868,357.0272,0.46487427,11.1188241933874,1.20741826972573E-06
a7_s8_t1_color.avi,a7,s8,t1,301.98514,138.02686,301.5423,137.90602,302.31113,136.10826,2.2445831,82.10786279122,11.4086520948072,328.0195,357.0015,327.7142,357.08768,328.45868,357.0272,0.46487427,11.1188241933874,1.20741826972573E-06
a15_s5_t4_color.avi,a15,s5,t4,275.12958,170.01654,288.17917,167.8363,275.93713,178.64156,9.432571,31.9477688510855,3.49148095186048,388.99606,237.98642,388.98367,238.02087,388.95062,237.98582,0.046035767,63.0978172073728,0.019192706097642
a15_s5_t4_color.avi,a15,s5,t4,275.12958,170.01654,288.17917,167.8363,275.93713,178.64156,9.432571,31.9477688510855,3.49148095186048,388.99606,237.98642,388.98367,238.02087,388.95062,237.98582,0.046035767,63.0978172073728,0.019192706097642
a21_s5_t4_color.avi,a21,s5,t4,387.99963,236.99246,348.81473,247.22726,317.95764,104.2398,202.79465,87.5396406133913,12.2291901735438,46.002747,162.94255,45.986015,162.97966,46.002575,162.99568,0.053302765,109.785338368098,0.067328335156924
a21_s5_t4_color.avi,a21,s5,t4,387.99963,236.99246,348.81473,247.22726,317.95764,104.2398,202.79465,87.5396406133913,12.2291901735438,46.002747,162.94255,45.986015,162.97966,46.002575,162.99568,0.053302765,109.785338368098,0.067328335156924
a6_s2_t1_color.avi,a6,s2,t1,346.05127,250.9909,332.46848,250.26508,343.35657,251.43379,3.1375885,3.06766293430635,166.355699158754,320.021,213.00229,322.34012,210.71893,320.25458,212.88925,0.34661865,1.58637215199567,0.090181860372201
a6_s2_t1_color.avi,a6,s2,t1,346.05127,250.9909,332.46848,250.26508,343.35657,251.43379,3.1375885,3.06766293430635,166.355699158754,320.021,213.00229,322.34012,210.71893,320.25458,212.88925,0.34661865,1.58637215199567,0.090181860372201
a1_s5_t1_color.avi,a1,s5,t1,387.97867,237.9429,352.51974,244.95819,356.67612,244.77109,38.130737,8.61355176183502,170.646719093352,47.00019,163.98663,46.974304,164.04039,46.98566,164.00551,0.033405304,7.679505244056,0.098615702125772
a1_s5_t1_color.avi,a1,s5,t1,387.97867,237.9429,352.51974,244.95819,356.67612,244.77109,38.130737,8.61355176183502,170.646719093352,47.00019,163.98663,46.974304,164.04039,46.98566,164.00551,0.033405304,7.679505244056,0.098615702125772
a1_s6_t3_color.avi,a1,s6,t3,388.9795,237.00316,396.1468,240.26501,396.15323,240.29909,10.469666,125.172149028328,0.487126125057067,46.016434,163.0332,45.99627,162.9998,45.99566,162.94844,0.105537415,149.561452810439,0.108927206244653
a1_s6_t3_color.avi,a1,s6,t3,388.9795,237.00316,396.1468,240.26501,396.15323,240.29909,10.469666,125.172149028328,0.487126125057067,46.016434,163.0332,45.99627,162.9998,45.99566,162.94844,0.105537415,149.561452810439,0.108927206244653
a20_s1_t4_color.avi,a20,s1,t4,389.02032,237.01674,359.1327,244.07256,358.7024,244.03632,37.33751,161.902845681728,1.86797169530002,559.9919,112.00658,559.9831,111.991196,559.9447,111.99549,0.058265686,113.360953759795,0.120369107608278
a20_s1_t4_color.avi,a20,s1,t4,389.02032,237.01674,359.1327,244.07256,358.7024,244.03632,37.33751,161.902845681728,1.86797169530002,559.9919,112.00658,559.9831,111.991196,559.9447,111.99549,0.058265686,113.360953759795,0.120369107608278
a2_s5_t1_color.avi,a2,s5,t1,389.02768,238.00264,389.02466,238.01915,339.42743,279.71106,91.30867,140.420799988964,3.41190167828529,46.995132,164.03123,47.00656,163.9989,46.971256,163.9777,0.07740402,101.510507738265,0.129628239264004
a2_s5_t1_color.avi,a2,s5,t1,389.02768,238.00264,389.02466,238.01915,339.42743,279.71106,91.30867,140.420799988964,3.41190167828529,46.995132,164.03123,47.00656,163.9989,46.971256,163.9777,0.07740402,101.510507738265,0.129628239264004
a9_s5_t4_color.avi,a9,s5,t4,278.9769,170.0637,277.79263,170.3215,277.4297,169.57645,2.0344696,103.691633089057,134.873239012219,539.01996,113.98475,539.0105,114.01652,539.0161,114.04074,0.05983734,150.365687854289,0.129628239264004
a9_s5_t4_color.avi,a9,s5,t4,278.9769,170.0637,277.79263,170.3215,277.4297,169.57645,2.0344696,103.691633089057,134.873239012219,539.01996,113.98475,539.0105,114.01652,539.0161,114.04074,0.05983734,150.365687854289,0.129628239264004
a10_s5_t1_color.avi,a10,s5,t1,276.92606,169.99162,272.19968,158.03564,277.44495,170.13927,0.6665344,1.86051837676266,113.809605125799,389.01477,237.98547,389.0317,238.00848,389.0458,238.03761,0.08317566,169.472223671266,0.132322581171185
a10_s5_t1_color.avi,a10,s5,t1,276.92606,169.99162,272.19968,158.03564,277.44495,170.13927,0.6665344,1.86051837676266,113.809605125799,389.01477,237.98547,389.0317,238.00848,389.0458,238.03761,0.08317566,169.472223671266,0.132322581171185
a8_s5_t2_color.avi,a8,s5,t2,389.01926,237.99037,351.8908,244.38144,352.3213,244.8123,43.519897,54.7922111814067,7.42344343079047,45.989998,162.98357,46.010437,162.96915,45.993706,162.94957,0.037704468,84.6840318915582,0.134780759624361
a8_s5_t2_color.avi,a8,s5,t2,389.01926,237.99037,351.8908,244.38144,352.3213,244.8123,43.519897,54.7922111814067,7.42344343079047,45.989998,162.98357,46.010437,162.96915,45.993706,162.94957,0.037704468,84.6840318915582,0.134780759624361
